title;category;imageFiles;shortDescription;additionalInfo
Zusammen Platz Machen;SmarteMobilitaet;zusammen-platz-machen_1.png;Die Maßnahme Zusammen Platz Machen verbessert die Abfallentsorgung in Kiel durch den Einsatz smarter Parksensoren in besonders engen Straßen. Rund 70 Sensoren erkennen, ob Fahrzeuge länger auf kritischen Flächen (wie z.B. enge Kreuzungsbereiche) stehen, ohne personenbezogene Daten zu erfassen. So kann das Ordnungsamt gezielt reagieren.;
Tiny Rathaus;Beteiligung;tiny-rathaus_1.png;Das Tiny Rathaus ist ein mobiler Beteiligungsraum, der Bürger*innenbeteiligung direkt vor Ort ermöglicht. Seit 2022 tourt das kompakte Gebäude durch die KielRegion und bietet Raum für Workshops, Sprechstunden und Dialogformate zwischen Verwaltung und Zivilgesellschaft. Das Projekt wurde ko-kreativ entwickelt. Ziel ist es, Beteiligung niedrigschwellig und sichtbar in den Alltag zu integrieren.;
Regionale Datenplattform;RegionaleDatenplattform;regionale-datenplattform_1.png;Die Regionale Datenplattform schafft eine zentrale digitale Infrastruktur zur Bündelung und Bereitstellung regionaler Daten in der KielRegion. Ziel ist es, eine verlässliche, interoperable Datenbasis für datengetriebene Entscheidungen und smarte Anwendungen in Bereichen wie Mobilität, Umweltmonitoring und Quartiersentwicklung zu schaffen. Aufbauend auf bestehenden Plattformen wie „Mobility Live Access“ wird die Datenplattform mit offenen Schnittstellen und Open-Source-Komponenten weiterentwickelt. So entsteht eine überregional nutzbare, betreiberunabhängige Lösung für Kommunen.;
Dialogveranstaltung “Wir bitten zu Tisch!” und Weiterentwicklung der Klima-Kochapp Mooi;Kompetenzaufbau;dialogveranstaltung-wir-bitten-zu-tisch-und-weit_1.png;Schüler*innen wurden praxisnah in die Themen zukunftsfähige Ernährung und Landwirtschaft eingeführt. Von April bis September 2022 nahmen sie an Workshops und einer Dialog-Veranstaltung teil, um gemeinsam mit politischen Entscheidungsträgerinnen Lösungen für eine klimafreundliche Landwirtschaft in der Region zu entwickeln. Die Klima-Kochapp „Mooi“ diente als Ausgangspunkt und wurde gemeinsam mit den Jugendlichen weiterentwickelt.;
Hackathon Küsten- und Meeresschutz;KuestenUndMeeresschutz;hackathon-kuesten--und-meeresschutz_1.png|hackathon-kuesten--und-meeresschutz_2.png;Beim Hackathon Küsten- und Meeresschutz arbeiteten Programmierer, Designer und Fachleute gemeinsam, um neue Ideen und Lösungen für den Schutz der Küsten und Meere zu entwickeln. Ziel war es, verschiedene Akteure in der Region zu vernetzen und das Interesse der Bevölkerung an der Gestaltung des Lebensraums Küste zu fördern. Dabei entstanden sieben konkrete Lösungen, von denen einige bereits umgesetzt werden.;
Smart Gaarden;Quartiersentwicklung;;Das abgeschlossene Projekt „Smart Gaarden“ förderte die digitale Teilhabe aller Menschen, um gesellschaftlichen Ausschluss zu vermeiden. Es beinhaltete die Erweiterung des öffentlichen WLAN-Netzes, zielgruppenspezifische Beratung und Angebote zur digitalen Kompetenz sowie die Vernetzung lokaler Akteure.;
Smart Parken;SmarteMobilitaet;smart-parken_1.png;Die Maßnahme Smart Parken am Kieler Innovations- und Technologiezentrum (KITZ) ermöglichte Anwohner*innen die Nutzung bislang nichtöffentlicher Parkflächen außerhalb der Geschäftszeiten durch eine App-Buchung und Kennzeichenerkennung. Zusätzlich wurden Sensoren zur Erfassung der Parkplatzbelegung getestet. Die Ergebnisse der Testphase wurden in einer praxisorientierten Handlungsempfehlung zusammengefasst, die anderen Kommunen und Unternehmen als Orientierung dienen kann.;
Make-In-contact - Vernetzung auf Augenhöhe;Beteiligung;;In Rendsburg entstand ein integrativer Coworking Space in zentraler Lage, der als Modellprojekt für die Region gilt und langfristig zur Entwicklung in der KielRegion beiträgt. Neben klassischem Coworking werden Innovationsräume geschaffen, die Kooperationen fördern und Akteure aus verschiedenen Bereichen zusammenbringen, um Inklusion, Wissensaustausch und nachhaltige Entwicklung zu stärken. ;
Biletado;RegionaleDatenplattform;;Biletado erleichtert die Organisation und Buchung von Räumen, Geräten und Veranstaltungen in Städten und Landkreisen. Kommunen können mit der Softwarelösung Arbeitsprozesse wie Anfragen, Reservierungen und Abrechnungen automatisieren und so Zeit und Personalressourcen sparen. Bürger*innen profitieren von einer einfachen, digitalen Buchungsmöglichkeit. Die Plattform wurde bereits entwickelt und wird gemeinsam mit weiteren Smart City-Projekten kontinuierlich weiterentwickelt werden.;
Coding for Girls;Kompetenzaufbau;;Die „Coding for Girls“-Kurse boten Mädchen im Alter von 8 bis 14 Jahren die Möglichkeit, erste Programmiererfahrungen mit Scratch zu sammeln. Seit Frühjahr 2023 werden im neu gegründeten Verein „cobaas – Bildung und Kommunikation“ weitere digitale Schulungen für Kinder und Jugendliche angeboten.;
